date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2005-02-25,3.65,3.75,3.65,3.75,1150.0,0.0,0.0,0.0,0.0,0.0,
2005-02-28,3.74,3.75,3.65,3.65,5075.0,-0.027028672387919395,1.4845645825526912,0.0,0.0,0.0,
2005-03-01,3.55,3.7,3.51,3.55,4336.0,-0.027779564107075716,-0.15737426079050465,0.6418538861723961,0.0,0.0,
2005-03-02,3.51,3.69,3.51,3.56,1691.0,0.002812941376614697,-0.9416321942209027,-0.054067221270276855,0.0,0.0,
2005-03-03,3.56,3.78,3.56,3.61,8900.0,0.013947227480850533,1.6607312068216515,0.2006706954621491,0.0,0.0,
2005-03-04,3.8,3.8,3.7,3.7,1258.0,0.02462504730538928,-1.956528118459846,-0.7884573603642728,0.0,0.0,
2005-03-07,3.58,3.75,3.56,3.75,5070.0,0.0134230203321406,1.393817659324843,0.6418538861723984,0.0,0.0,
2005-03-08,3.51,3.73,3.51,3.62,18993.0,-0.03528181414463982,1.3207296726270084,0.14660347419187647,0.0,0.0,
2005-03-09,3.51,3.72,3.51,3.66,1750.0,0.010989121575595284,-2.3844547022946774,-0.04652001563489172,0.0,0.0,
2005-03-10,3.6,3.71,3.6,3.6,2900.0,-0.016529301951210718,0.505094949057006,-0.6466271649250557,0.0,0.0,
2005-03-11,3.62,3.73,3.58,3.64,5456.0,0.011049836186585171,0.6320051835487321,0.31015492830384006,0.04809427836236206,0.0,
2005-03-14,3.6,3.6,3.6,3.6,100.0,-0.011049836186585171,-3.999301013535206,-inf,0.04487432832360358,0.0,
2005-03-15,3.69,3.7,3.5,3.54,20001.0,-0.016807118316381153,5.298367365298079,inf,0.04185739347822084,0.0,
2005-03-16,3.56,3.62,3.56,3.62,7600.0,0.022347298691996587,-0.9676340250117477,-1.2039728043259361,0.04483318035396239,0.0,
2005-03-17,3.55,3.59,3.45,3.59,59736.0,-0.008321823337492207,2.061786606441114,0.8472978603872006,0.04420658892207526,0.0,
2005-03-18,3.52,3.56,3.42,3.42,2600.0,-0.048511651425673596,-3.1344234087059633,3.1086244689504383e-15,0.050817904756702906,0.0,
2005-03-21,3.42,3.61,3.42,3.5,32228.0,0.02312241742085419,2.5173241948875127,0.30538164955118074,0.053469313074855855,0.0,
2005-03-22,3.55,3.57,3.55,3.57,727.0,0.019802627296179542,-3.791664441363567,-2.251291798606494,0.05137085328339669,0.0,
2005-03-23,3.5,3.52,3.5,3.5,3700.0,-0.019802627296179542,1.6271616210987965,0.0,0.051860139470660205,0.0,
2005-03-24,3.5,3.52,3.47,3.48,14645.0,-0.0057306747089851395,1.3757661606295173,0.9162907318741507,0.05102044909860868,0.0,
