date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2010-06-28,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,
2010-06-29,19.0,25.0,17.54,23.89,18783276.0,0.34024661728150196,inf,inf,0.0,0.0,
2010-06-30,25.79,30.42,23.3,23.83,17194394.0,-0.002514670227067306,-0.0883834990015977,-0.04664768879178505,0.0,0.0,
2010-07-01,25.0,25.92,20.27,21.96,8229863.0,-0.08172267446932091,-0.7368140323251726,-0.2312521802655345,0.0,0.0,
2010-07-02,23.0,23.1,18.71,19.2,5141807.0,-0.13431233760759387,-0.4703647940290452,-0.2523263180712698,0.0,0.0,
2010-07-06,20.0,20.0,15.83,16.11,6879296.0,-0.1754700818448529,0.29111174702241094,-0.05141319127637001,0.0,0.0,
2010-07-07,16.4,16.63,14.98,15.8,6924914.0,-0.01943025715596214,0.00660931209548643,-0.9271407478982218,0.0,0.0,
2010-07-08,16.14,17.52,15.57,17.46,7719539.0,0.09990261037853498,0.10862901400403935,0.16705408466316674,0.0,0.0,
2010-07-09,17.58,17.9,16.55,17.4,4058606.0,-0.003442344190972779,-0.6429150823258407,-0.3677247801253186,0.0,0.0,
2010-07-12,17.95,18.07,17.0,17.05,2203570.0,-0.020320002490957556,-0.6107607924642124,-0.2324459439765214,0.0,0.0,
2010-07-13,17.39,18.64,16.9,18.14,2680060.0,0.06196924095746503,0.195760409894147,0.48622646475262377,0.3210087906721377,0.0,
2010-07-14,17.94,20.15,17.76,19.84,4196110.0,0.08958065716973618,0.44831872330185263,0.31740825271697914,0.20373116798825497,0.0,
2010-07-15,19.94,21.5,19.0,19.89,3745297.0,0.002516991009153813,-0.11365698606807406,0.04499736593073711,0.2039824555507087,0.0,
2010-07-16,20.7,21.3,20.05,20.64,2621210.0,0.03701384774748151,-0.356864876343165,-0.6931471805599454,0.20065076997880052,0.0,
2010-07-19,21.37,22.25,20.92,21.91,2486489.0,0.05971221299401286,-0.052764367948601176,0.06203539091945137,0.177382339449497,0.0,
2010-07-20,21.85,21.85,20.05,20.3,1825231.0,-0.07632226755963334,-0.3091651209069326,0.30260772266845826,0.1248782643593683,0.0,
2010-07-21,20.66,20.9,19.5,20.22,1253442.0,-0.003948672455416524,-0.37581318726399715,-0.2513144282809075,0.12240308213331805,0.0,
2010-07-22,20.5,21.25,20.37,21.0,962345.0,0.03785022413109784,-0.2642756318523425,-0.4643056081310979,0.10826095198656997,0.0,
2010-07-23,21.19,21.56,21.06,21.29,654049.0,0.013715041181964871,-0.3861907420347652,-0.5653138090500592,0.10700496131495299,0.0,
2010-07-26,21.5,21.5,20.3,20.95,922453.0,-0.016098832537241314,0.34385415390930696,0.8754687373538993,0.1061557043876219,0.0,
2010-07-27,20.91,21.18,20.26,20.55,619675.0,-0.01927770542590279,-0.3978412790539956,-0.2657031657330071,0.10409072777622076,0.0,
2010-07-28,20.55,20.9,20.51,20.72,467183.0,0.008238476449038412,-0.28247410318758703,-0.8582269309193995,0.08470096313673386,0.0,
2010-07-29,20.77,20.88,20.0,20.35,615910.0,-0.01801850550267803,0.27637980509750726,0.8137751683485666,0.08617830873958982,0.0,
2010-07-30,20.2,20.44,19.55,19.94,426830.0,-0.020353147354911894,-0.3667150414716591,0.011299555253935126,0.08281678507819348,0.0,
2010-08-02,20.5,20.97,20.33,20.92,719145.0,0.04797787466302994,0.5216771988817488,-0.32975328637246776,0.07812774447391996,0.0,
2010-08-03,21.0,21.95,20.82,21.95,1231023.0,0.048061500324457995,0.53753780363337,0.568504735352667,0.06269425984062785,0.0,
2010-08-04,21.95,22.18,20.85,21.26,920756.0,-0.031939766607378406,-0.2904057382758918,0.16296130950941282,0.06847023992560705,0.0,
2010-08-05,21.54,21.55,20.05,20.45,796380.0,-0.03884449042499094,-0.1451186128646036,0.12028616587450325,0.06950654218169519,0.0,
2010-08-06,20.1,20.16,19.52,19.59,742138.0,-0.04296365053236162,-0.0705412491641404,-0.851752210736583,0.07352915891756423,0.0,
2010-08-09,19.9,19.98,19.45,19.6,812656.0,0.0005103342800225619,0.090772686072226,-0.18859116980754875,0.07349113974927651,0.0,
2010-08-10,19.65,19.65,18.82,19.03,1281286.0,-0.02951288492841364,0.45531164427871396,0.44854869424447186,0.07481183470325889,0.4740195066294659,
