date,open,high,low,close,volume,log_return,log_volume_chg,log_trading_range,vol_10,vol_30,garch_vol_10
2005-02-25,14.71,15.46,14.56,15.35,598107.0,0.0,0.0,0.0,0.0,0.0,
2005-02-28,15.56,15.75,14.95,14.96,574828.0,-0.025735501486874757,-0.03969880209636223,-0.11778303565638297,0.0,0.0,
2005-03-01,15.07,15.46,15.03,15.29,446420.0,0.02181904739463958,-0.2528106526832694,-0.6208265189803166,0.0,0.0,
2005-03-02,15.29,15.3,14.93,14.94,578987.0,-0.02315684023629938,0.2600198118857513,-0.15028220304933881,0.0,0.0,
2005-03-03,14.94,15.1,14.25,14.48,677619.0,-0.03127379274710096,0.15730515826978753,0.8317333438460889,0.0,0.0,
2005-03-04,14.61,14.69,14.22,14.39,709796.0,-0.006234866058294042,0.04639242171986169,-0.5925036547802598,0.0,0.0,
2005-03-07,14.33,14.82,14.33,14.59,349267.0,0.013802841635417895,-0.7091409321201052,0.04167269640057081,0.0,0.0,
2005-03-08,14.62,14.85,14.32,14.36,181633.0,-0.015889798914616282,-0.653848504966021,0.07847161544149361,0.0,0.0,
2005-03-09,14.35,14.66,14.35,14.36,339968.0,0.0,0.6268633278136644,-0.5363047090669728,0.0,0.0,
2005-03-10,14.5,14.62,14.2,14.26,322915.0,-0.0069881486339280485,-0.05146236483799882,0.30368241379822025,0.0,0.0,
2005-03-11,14.41,14.63,14.16,14.35,379837.0,0.00629152721948012,0.16235308263196657,0.11247798342669191,0.039222725684897757,0.0,
2005-03-14,14.23,14.53,14.17,14.28,412909.0,-0.004889985294191934,0.08348501637200911,-0.2666286632539516,0.03627178425937496,0.0,
2005-03-15,14.49,14.49,13.96,13.97,327913.0,-0.021947783642567664,-0.23047890040146157,0.3867729750960123,0.031402674115829,0.0,
2005-03-16,13.4,14.78,13.3,14.27,842952.0,0.02124725821987461,0.9441616875806425,1.0269203602119936,0.035706254018588825,0.0,
2005-03-17,14.29,14.77,14.25,14.51,916158.0,0.016678635407351372,0.08327882200360648,-1.0459685551826876,0.031667604407295484,0.0,
2005-03-18,14.84,15.15,14.5,15.11,1761218.0,0.04051870938855151,0.653572055251141,0.2231435513142111,0.041965968293274564,0.0,
2005-03-21,15.2,15.48,14.79,15.04,608065.0,-0.004643457762954384,-1.063479109987048,0.0597192347016236,0.041814370433491545,0.0,
2005-03-22,15.11,15.17,14.84,14.9,542317.0,-0.009352105570280322,-0.1144310828286006,-0.7375989431307808,0.04040199263222219,0.0,
2005-03-23,14.9,15.17,14.81,15.0,434089.0,0.006688988150796771,-0.22260111911703007,0.08701137698962791,0.04033926809930142,0.0,
2005-03-24,15.1,15.1,14.84,14.95,315065.0,-0.0033389012655145045,-0.3204706154561183,-0.3254224004346271,0.039848463230130984,0.0,
2005-03-28,14.95,15.38,14.89,14.94,412574.0,-0.0006691201320241369,0.2696366168800477,0.6337237600891458,0.04000014943475683,0.0,
2005-03-29,15.06,15.09,14.54,14.62,403750.0,-0.021651725383038833,-0.021619709088094297,0.11551288712184515,0.04366466142953776,0.0,
2005-03-30,14.67,15.18,14.61,15.17,359368.0,0.03692933903880835,-0.11644894143582363,0.03571808260207843,0.04527829075656483,0.0,
2005-03-31,15.06,15.16,14.89,15.05,422534.0,-0.007941802165555956,0.16192298383115933,-0.747214401830223,0.04532431785278005,0.0,
2005-04-01,15.32,15.32,14.76,14.87,406905.0,-0.012032230722821335,-0.03769017396859731,0.7295148247308225,0.04587110759914255,0.0,
2005-04-04,14.83,14.96,14.55,14.81,213309.0,-0.004043132192356413,-0.6458379242836187,-0.3117796240308419,0.034816281702848006,0.0,
2005-04-05,14.83,14.95,14.43,14.46,298298.0,-0.023916411549088412,0.3353511681585033,0.23767165187711836,0.03813645151865574,0.0,
2005-04-06,14.62,14.84,14.5,14.66,296194.0,0.013736479727886497,-0.00707834179334732,-0.42488319396526564,0.03977312206921685,0.0,
2005-04-07,14.78,14.88,14.57,14.88,219805.0,0.014895332946440742,-0.29827385538166773,-0.09237332013101307,0.04112628231782985,0.0,
2005-04-08,14.95,15.17,14.71,14.72,235583.0,-0.010810916104215806,0.06932250331363043,0.39465419200394514,0.0417173639485559,0.0,
